iter	Logloss
0	0.677582967
1	0.6605109895
2	0.6464627479
3	0.6341162889
4	0.622449796
5	0.6098109308
6	0.5977842427
7	0.5878804944
8	0.5784023367
9	0.5687806789
10	0.5611118444
11	0.552847839
12	0.5458015009
13	0.5382029354
14	0.529983841
15	0.5247096936
16	0.5177496097
17	0.5117608192
18	0.5074992542
19	0.5028050965
20	0.4982027007
21	0.4925558618
22	0.4880858357
23	0.4842995664
24	0.4806470917
25	0.4765166751
26	0.4720710141
27	0.4682474324
28	0.4646071064
29	0.461321445
30	0.4583083972
31	0.4559991354
32	0.4538504138
33	0.4514744569
34	0.4488465989
35	0.4465898526
36	0.4442607005
37	0.4412883426
38	0.4389845195
39	0.4365473089
40	0.4346579963
41	0.4330810727
42	0.4301451015
43	0.4287016073
44	0.4267117346
45	0.4249739712
46	0.4232593257
47	0.4218211362
48	0.4199876113
49	0.4181622191
50	0.416865622
51	0.4146976222
52	0.4126332507
53	0.410869275
54	0.4092841419
55	0.4075045915
56	0.4063058838
57	0.4049201213
58	0.4036575323
59	0.4022457204
60	0.4009210069
61	0.3992678292
62	0.397944842
63	0.3973009366
64	0.3961161848
65	0.3946565028
66	0.3933885397
67	0.3921191208
68	0.3914732382
69	0.3907630126
70	0.3899105558
71	0.3889784361
72	0.3877355547
73	0.3867423352
74	0.3860313682
75	0.3847477468
76	0.3837823523
77	0.3831106612
78	0.3821385184
79	0.3811886926
80	0.3804101736
81	0.3797939292
82	0.3793131421
83	0.3779715013
84	0.3765916816
85	0.3759610577
86	0.3753787489
87	0.3746500118
88	0.3740522183
89	0.3734863887
90	0.3729602965
91	0.3723912887
92	0.371841159
93	0.3709172329
94	0.3702179082
95	0.3697051427
96	0.368691567
97	0.3681301203
98	0.3674199017
99	0.3669735255
100	0.3664237406
101	0.3655684382
102	0.3646971632
103	0.3642891018
104	0.3635944467
105	0.3629954684
106	0.3624904607
107	0.3620457033
108	0.3617010694
109	0.3611730321
110	0.3601997551
111	0.3597329555
112	0.359165359
113	0.3588094989
114	0.357920899
115	0.3575578676
116	0.3570452042
117	0.356575277
118	0.3561998241
119	0.3552895143
120	0.3546423247
121	0.354260556
122	0.3538161792
123	0.3532597867
124	0.3525985514
125	0.3520668608
126	0.3516766285
127	0.3510822129
128	0.3505589763
129	0.3501764905
130	0.3500153687
131	0.3496323888
132	0.3492272299
133	0.3486974709
134	0.3483601289
135	0.3478949526
136	0.3473229513
137	0.3468957928
138	0.3464724061
139	0.3461906614
140	0.3458307885
141	0.3455360463
142	0.3451775621
143	0.3449403356
144	0.3445921052
145	0.3442447573
146	0.3438304815
147	0.343580656
148	0.3430211487
149	0.3428127463
150	0.3423593195
151	0.3421170318
152	0.3418320326
153	0.3413283803
154	0.341017557
155	0.3407759072
156	0.3405281898
157	0.3402778858
158	0.3399004832
159	0.3393054253
160	0.3390151098
161	0.3387831773
162	0.3384870528
163	0.3382363948
164	0.3379743425
165	0.3376202083
166	0.3374144559
167	0.3371187611
168	0.3368416672
169	0.3365542102
170	0.3362427504
171	0.3359982814
172	0.3356821933
173	0.3353520052
174	0.3350849786
175	0.3347380321
176	0.3344922544
177	0.3342943669
178	0.3340061671
179	0.3337827272
180	0.3335824898
181	0.3333113089
182	0.3330126072
183	0.3328705277
184	0.3325537639
185	0.3323569502
186	0.3320852035
187	0.3317965965
188	0.3316042861
189	0.3314299362
190	0.331070406
191	0.330935328
192	0.3307212103
193	0.3304640432
194	0.3301917914
195	0.3299867322
196	0.3298226215
197	0.3295451388
198	0.3293959006
199	0.3290756707
200	0.3289112832
201	0.3287287846
202	0.3284873239
203	0.3282760123
204	0.328078419
205	0.3277262777
206	0.3276073171
207	0.3274612123
208	0.3272901938
209	0.3270647109
210	0.3269283357
211	0.3266088385
212	0.3263293985
213	0.3261461015
214	0.3259210989
215	0.3257861271
216	0.3254786589
217	0.3252912867
218	0.3249941579
219	0.3247359064
220	0.3244843049
221	0.324233434
222	0.3240242206
223	0.3238445719
224	0.3236695986
225	0.3234584003
226	0.3232706255
227	0.3230540311
228	0.3227462729
229	0.3225945958
230	0.3224653156
231	0.3222032254
232	0.3218510135
233	0.3216918324
234	0.3215341846
235	0.3213687142
236	0.3211921732
237	0.3208291793
238	0.3206717434
239	0.3205488068
240	0.320301515
241	0.3200683535
242	0.3198432567
243	0.3196242263
244	0.319416395
245	0.3192041965
246	0.3190827184
247	0.3187789471
248	0.3185897265
249	0.318269685
250	0.3181260094
251	0.3179687984
252	0.3178208695
253	0.3175894008
254	0.3174181242
255	0.3171456039
256	0.316900201
257	0.3167311496
258	0.3166126888
259	0.3163961734
260	0.3162656602
261	0.3161766958
262	0.3159935638
263	0.3158248009
264	0.3156232478
265	0.3153941104
266	0.3152630378
267	0.315107513
268	0.3149702766
269	0.3148132162
270	0.3147017111
271	0.3145300024
272	0.3142174824
273	0.3140423297
274	0.3139342949
275	0.313754422
276	0.3136292305
277	0.3132952761
278	0.3130692597
279	0.3129131759
280	0.312564247
281	0.3122577168
282	0.3121713159
283	0.3119214841
284	0.3117530797
285	0.3115241338
286	0.3113611836
287	0.3112381831
288	0.3110636402
289	0.3109184892
290	0.3107668761
291	0.3105368172
292	0.3103899876
293	0.3101350359
294	0.3100146806
295	0.3098905517
296	0.3097581601
297	0.3096312357
298	0.309435094
299	0.3092540594
300	0.309072884
301	0.3088214124
302	0.30865933
303	0.3084987831
304	0.3083102457
305	0.3082014578
306	0.308105118
307	0.3079170872
308	0.3077163457
309	0.3075630468
310	0.3073261625
311	0.3070033298
312	0.3067781462
313	0.306584982
314	0.3064138907
315	0.3061531501
316	0.3059355121
317	0.3056142574
318	0.3053537421
319	0.3052153961
320	0.3051185112
321	0.3049742959
322	0.3047820955
323	0.304523461
324	0.3043406787
325	0.304189391
326	0.3039852276
327	0.3037584499
328	0.3035355519
329	0.3032645847
330	0.3030472477
331	0.3028163354
332	0.3025170724
333	0.302306829
334	0.3021146292
335	0.3019476446
336	0.301797194
337	0.3016287625
338	0.3015217083
339	0.3013741802
340	0.3012266231
341	0.301001387
342	0.3008525749
343	0.3006129513
344	0.3004611036
345	0.3002375664
346	0.2999184992
347	0.2998001049
348	0.299608255
349	0.2994809863
350	0.2993356762
351	0.2991687156
352	0.2989674554
353	0.2987283052
354	0.2984325152
355	0.2982426879
356	0.2980718256
357	0.2979126908
358	0.2977812045
359	0.2976614048
360	0.2974879935
361	0.2973124392
362	0.2971124326
363	0.2969301916
364	0.2968481433
365	0.2966368505
366	0.2962939655
367	0.2962052479
368	0.296069072
369	0.2959453486
370	0.2957707405
371	0.2956607719
372	0.2954495762
373	0.2953166044
374	0.2952273123
375	0.2949948729
376	0.2948555784
377	0.2946639023
378	0.2944938951
379	0.2942926304
380	0.2941803792
381	0.2940652586
382	0.2939364318
383	0.2937693281
384	0.2935977765
385	0.2934331533
386	0.2932225593
387	0.2930653069
388	0.2928290532
389	0.2926788053
390	0.2924814255
391	0.2923694253
392	0.2922647805
393	0.2921855118
394	0.2920262895
395	0.291877119
396	0.291640316
397	0.2913727608
398	0.2912721183
399	0.2911155223
400	0.2910249122
401	0.2908169814
402	0.2906871242
403	0.2904791083
404	0.2903243333
405	0.290166631
406	0.2900776545
407	0.289927673
408	0.2897866104
409	0.2896638342
410	0.2894901881
411	0.2893631773
412	0.2892088613
413	0.2890807566
414	0.2889628743
415	0.2888500475
416	0.2887128729
417	0.2886231962
418	0.2884541533
419	0.2882909918
420	0.2881214681
421	0.2878430383
422	0.2877299126
423	0.287505389
424	0.2874346478
425	0.2872907509
426	0.2872027497
427	0.2870663055
428	0.2868968773
429	0.2867834431
430	0.2866059404
431	0.2863824213
432	0.2862581805
433	0.2861217301
434	0.2860113186
435	0.2858604256
436	0.2856859848
437	0.285558871
438	0.285472771
439	0.2853327886
440	0.2851659011
441	0.2849583319
442	0.2847615755
443	0.2846643643
444	0.2845234415
445	0.2843701223
446	0.284147542
447	0.2839895721
448	0.2838337103
449	0.2836181143
450	0.2834446868
451	0.2832852446
452	0.2830893191
453	0.2829407389
454	0.2827568652
455	0.2825295348
456	0.2824628107
457	0.2823935263
458	0.2821855028
459	0.2820313737
460	0.281836428
461	0.2816516821
462	0.281555407
463	0.2814145873
464	0.2812736405
465	0.281091953
466	0.280981694
467	0.280876646
468	0.2807659058
469	0.2806175345
470	0.2804826865
471	0.2803995359
472	0.2802168182
473	0.2801152118
474	0.2799402234
475	0.2797826164
476	0.2795745757
477	0.2794306532
478	0.2793189095
479	0.2791879835
480	0.2791092607
481	0.2789526723
482	0.2788060902
483	0.2787725813
484	0.278695747
485	0.2785904743
486	0.2784424389
487	0.2783154681
488	0.2781547375
489	0.2780416047
490	0.2779052925
491	0.2777916862
492	0.2776618267
493	0.2774545743
494	0.2773821085
495	0.2772543761
496	0.2771423142
497	0.2770310282
498	0.2768627704
499	0.2767662901
500	0.2766766698
501	0.2765406137
502	0.276445336
503	0.2763269942
504	0.2762542775
505	0.2762061951
506	0.2760649481
507	0.275960537
508	0.2758915401
509	0.2757398227
510	0.2755761986
511	0.2755022851
512	0.2752505987
513	0.275096228
514	0.2748396404
515	0.2747166776
516	0.2746200927
517	0.2745249681
518	0.2744226471
519	0.2743283143
520	0.274154632
521	0.2740562803
522	0.2739257356
523	0.2737439124
524	0.2735829962
525	0.2734896473
526	0.273407814
527	0.2733244895
528	0.2732132732
529	0.273116766
530	0.2729694376
531	0.2728653792
532	0.2726895711
533	0.2726245645
534	0.2725026336
535	0.2723706569
536	0.2722104798
537	0.2720645096
538	0.2719196862
539	0.2717279442
540	0.2716317298
541	0.271504561
542	0.2713139751
543	0.271133549
544	0.2710514303
545	0.2709333091
546	0.2708329175
547	0.2707198527
548	0.2705237864
549	0.2704418452
550	0.2703444227
551	0.2701895481
552	0.2700799466
553	0.269940099
554	0.2697876382
555	0.2697108188
556	0.2695484843
557	0.2694635882
558	0.2693651173
559	0.2692892634
560	0.2691917648
561	0.2690543531
562	0.268919499
563	0.2687736464
564	0.2686889652
565	0.268585897
566	0.2684660002
567	0.2684047469
568	0.268235379
569	0.2680708074
570	0.2680107071
571	0.267905471
572	0.267826462
573	0.2676973433
574	0.2675880963
575	0.2674603658
576	0.2673401805
577	0.2672015733
578	0.2671024191
579	0.2669826776
580	0.2668858988
581	0.2667453389
582	0.2666208194
583	0.266535644
584	0.2664379448
585	0.266314518
586	0.266139156
587	0.2660058139
588	0.2659439401
589	0.2658876042
590	0.2657969388
591	0.2656821586
592	0.2655898805
593	0.2655027308
594	0.2653632507
595	0.2652860863
596	0.2651341193
597	0.2650405812
598	0.2649820877
599	0.2648684454
600	0.2647484414
601	0.2645890541
602	0.264497456
603	0.2644130689
604	0.264322017
605	0.264197394
606	0.2641427077
607	0.2639950755
608	0.2638965072
609	0.2637389799
610	0.2636139855
611	0.2635106091
612	0.2634060616
613	0.2632578192
614	0.2631729035
615	0.263016705
616	0.2628644862
617	0.2627450492
618	0.2626350958
619	0.2625333277
620	0.2624509139
621	0.262306415
622	0.2622129581
623	0.2620703508
624	0.2619389202
625	0.2618847202
626	0.261769805
627	0.2616779759
628	0.261543124
629	0.2614281339
630	0.261335467
631	0.261239799
632	0.2611815937
633	0.2611002788
634	0.2610360702
635	0.2608853967
636	0.2608276821
637	0.2607420192
638	0.2605605179
639	0.2604925409
640	0.260381287
641	0.2603115947
642	0.2602062719
643	0.2600905555
644	0.2599861904
645	0.2598257564
646	0.259663322
647	0.2595534656
648	0.2594782284
649	0.2593703808
650	0.2592871994
651	0.2591280263
652	0.2589812293
653	0.2588840035
654	0.2587799013
655	0.2586976006
656	0.2585694798
657	0.2584568904
658	0.2583331172
659	0.2582309044
660	0.2581663114
661	0.2580663179
662	0.2579461148
663	0.2578687971
664	0.2578032218
665	0.2576627524
666	0.2575730727
667	0.2574137209
668	0.2573402299
669	0.2572904194
670	0.2571986071
671	0.2570968881
672	0.2569849243
673	0.2568250791
674	0.2567552367
675	0.256597708
676	0.2565374355
677	0.2564243729
678	0.2563240021
679	0.256219096
680	0.2561183123
681	0.2560605873
682	0.2559492982
683	0.255767081
684	0.2556827449
685	0.2556012136
686	0.2555113835
687	0.2553927442
688	0.2553215637
689	0.2551845029
690	0.2550753168
691	0.2549967955
692	0.2548894013
693	0.2547787742
694	0.2547055439
695	0.2546092469
696	0.2545323069
697	0.2544190693
698	0.2543629186
699	0.2542437587
700	0.2541485591
701	0.2541013813
702	0.2540154122
703	0.2539039399
704	0.2538032923
705	0.2536708525
706	0.2536069617
707	0.2535038006
708	0.25338711
709	0.2532831733
710	0.2532129824
711	0.253072619
712	0.2529748369
713	0.2528909153
714	0.2528007079
715	0.252691826
716	0.2526086032
717	0.252556718
718	0.2524248673
719	0.2523288783
720	0.2522606351
721	0.2521846935
722	0.2521208072
723	0.2520280012
724	0.2519790687
725	0.2519313231
726	0.2518884123
727	0.2518093133
728	0.2516587355
729	0.2515347805
730	0.2514384456
731	0.2513466838
732	0.2512255963
733	0.2510469521
734	0.2509539495
735	0.2508420055
736	0.2506804197
737	0.2506088989
738	0.2505205821
739	0.2504478661
740	0.250370162
741	0.250279221
742	0.2501992947
743	0.250146158
744	0.2500582107
745	0.2499393643
746	0.2498902591
747	0.2498186572
748	0.2497419203
749	0.2496178147
750	0.2495219984
751	0.249437837
752	0.2493216518
753	0.2492300151
754	0.2491244191
755	0.2490064848
756	0.248884219
757	0.2488072437
758	0.2486907571
759	0.248566067
760	0.2484705832
761	0.24836796
762	0.248303347
763	0.2481856918
764	0.2480740702
765	0.2479360388
766	0.2478283837
767	0.2477548442
768	0.2476313064
769	0.2475719865
770	0.2474911292
771	0.2474550858
772	0.2473858066
773	0.2472796009
774	0.2471365127
775	0.2470708523
776	0.246993237
777	0.2469080422
778	0.2468516071
779	0.2467835313
780	0.2466700805
781	0.2465801148
782	0.246477905
783	0.2463899293
784	0.2462586662
785	0.2461739433
786	0.2460622706
787	0.2459861716
788	0.2459047938
789	0.2457846663
790	0.2457145575
791	0.2456435938
792	0.24556845
793	0.2454550775
794	0.2453730709
795	0.2453296053
796	0.2452911372
797	0.2451856904
798	0.2451247782
799	0.2450721084
800	0.2449491156
801	0.2448078952
802	0.2447170068
803	0.244628819
804	0.2445629536
805	0.2444777478
806	0.2443924097
807	0.244284377
808	0.2441434811
809	0.2441017775
810	0.2440282423
811	0.2439148834
812	0.243839238
813	0.2437397861
814	0.2436674214
815	0.2435663625
816	0.2434737391
817	0.2434201289
818	0.2433349297
819	0.2432110759
820	0.2431394931
821	0.2430665032
822	0.2430033492
823	0.2429259729
824	0.2428036939
825	0.2426694997
826	0.2426168643
827	0.242576819
828	0.2424943725
829	0.2424343983
830	0.2423680227
831	0.2422701478
832	0.2421966239
833	0.242084742
834	0.2420074393
835	0.2419424
836	0.2418121094
837	0.241739497
838	0.2416428443
839	0.2415555714
840	0.2415035561
841	0.241422404
842	0.2413715823
843	0.2413378259
844	0.2412485843
845	0.2411629553
846	0.2410496167
847	0.2409321919
848	0.2408877604
849	0.2408209661
850	0.2407516777
851	0.2406630889
852	0.240555046
853	0.2404602757
854	0.2403724724
855	0.2403042714
856	0.240198113
857	0.2401554443
858	0.2400967769
859	0.2399807322
860	0.2399139056
861	0.2398517286
862	0.239783119
863	0.2396855251
864	0.2395501876
865	0.2394434161
866	0.239366061
867	0.2392649192
868	0.2391691296
869	0.2390977347
870	0.2390651358
871	0.2389604712
872	0.2388573693
873	0.2387729186
874	0.2387219758
875	0.2386261422
876	0.2385149936
877	0.2384136395
878	0.23827451
879	0.2382161658
880	0.2381477104
881	0.2380517246
882	0.2379408708
883	0.2378767156
884	0.2377731317
885	0.2377113075
886	0.2376506089
887	0.2375957409
888	0.2375295712
889	0.2374217867
890	0.2373628984
891	0.2373014149
892	0.2372398666
893	0.2371148993
894	0.2370523369
895	0.236996507
896	0.236854109
897	0.2367425089
898	0.2366379919
899	0.2365180788
900	0.2364225772
901	0.2363747674
902	0.2362657283
903	0.23615202
904	0.2360741088
905	0.2359581064
906	0.2358815285
907	0.2357980612
908	0.2357313337
909	0.2356567802
910	0.2355764274
911	0.2355104408
912	0.2354429348
913	0.2352987635
914	0.2352230204
915	0.2351445574
916	0.2350820631
917	0.2350197795
918	0.2349663941
919	0.2348919438
920	0.2348308409
921	0.2347725653
922	0.2347057781
923	0.2346447042
924	0.2345463464
925	0.2344748236
926	0.234403257
927	0.234294435
928	0.2342514207
929	0.2341649631
930	0.2340688892
931	0.2340118773
932	0.2339464984
933	0.2338502223
934	0.2337684279
935	0.2336565822
936	0.2335380074
937	0.2334711125
938	0.2334133972
939	0.2333603613
940	0.2333035565
941	0.2332251089
942	0.2331167925
943	0.233078213
944	0.2329766661
945	0.2329322751
946	0.2328694912
947	0.2328177311
948	0.2327737797
949	0.2326832086
950	0.2326220338
951	0.2324862616
952	0.2324088939
953	0.232320034
954	0.2322180024
955	0.2321278326
956	0.2320404892
957	0.2319689745
958	0.2319161113
959	0.2318694068
960	0.2317855186
961	0.2317654092
962	0.231681088
963	0.2316110744
964	0.2315301658
965	0.2314603303
966	0.2313664487
967	0.2313014946
968	0.2312517651
969	0.2312122763
970	0.2311018643
971	0.2309873337
972	0.2309388099
973	0.2308270616
974	0.2307634165
975	0.2306712676
976	0.2306036404
977	0.2305383946
978	0.2304561188
979	0.2303618369
980	0.2303266004
981	0.2302814568
982	0.2302322085
983	0.2301606183
984	0.2300769259
985	0.2299998627
986	0.229906438
987	0.2298376998
988	0.2297705838
989	0.2296689537
990	0.2296091034
991	0.2295910658
992	0.2295246176
993	0.2294757648
994	0.2294086034
995	0.2293028316
996	0.2292159795
997	0.2291408978
998	0.2290528559
999	0.2289949805
